0 1 33
28 21 33
21 51 33
21 2 33
43 12 33
12 52 33
12 24 33
12 53 33
42 45 33
40 13 33
42 46 33
2 4 33
2 46 33
2 18 33
52 1 33
47 1 33
37 2 33
39 52 33
39 17 33
39 2 33
0 52 33
11 36 33
11 32 33
51 11 33
23 43 33
41 11 33
23 27 33
10 26 33
42 36 33
41 36 33
40 18 33
40 46 33
40 4 33
41 43 33
0 4 33
0 47 33
39 12 33
2 1 33
23 53 33
42 50 33
41 50 33
27 22 33
54 7 33
10 34 33
17 1 33
37 1 33
9 33 33
45 32 33
40 32 33
34 25 33
39 47 33
21 42 33
23 40 33
27 53 33
27 41 33
23 2 33
23 41 33
54 30 33
17 53 33
17 52 33
40 17 33
44 3 33
51 36 33
51 24 33
41 51 33
50 52 33
23 45 33
40 3 33
0 12 33
44 13 33
41 42 33
23 36 33
0 37 33
39 40 33
26 7 33
7 33 33
13 1 33
9 28 33
24 32 33
28 26 33
28 34 33
28 25 33
38 25 33
9 25 33
43 11 33
30 33 33
30 32 33
27 28 33
7 25 33
26 25 33
10 25 33
24 22 33
11 22 33
23 22 33
21 22 33
19 20 33
11 12 33
11 2 33
9 10 33
4 1 33
3 1 33
42 40 33
11 24 33
30 34 33
28 11 33
40 22 33
18 1 33
44 24 33
40 24 33
50 24 33
38 34 33
9 34 33
45 22 33
39 45 33
7 34 33
41 21 33
23 21 33
0 13 33
44 4 33
42 43 33
39 46 33
21 11 33
39 18 33
10 20 33
13 3 33
13 18 33
45 18 33
46 18 33
23 28 33
38 10 33
0 18 33
21 43 33
27 40 33
27 2 33
23 24 33
0 3 33
27 37 32
21 22 32
21 47 32
39 3 32
27 42 32
39 2 32
26 34 32
27 0 32
47 22 32
20 36 32
2 3 32
38 24 32
52 25 32
37 20 32
23 20 32
37 58 32
23 2 32
2 52 32
13 18 32
17 47 32
50 22 32
2 12 32
21 53 32
28 17 32
28 0 32
27 17 32
17 4 32
37 2 32
23 0 32
3 1 32
20 1 32
42 58 32
38 34 32
37 51 32
37 44 32
11 40 32
27 47 32
27 50 32
28 52 32
40 25 32
30 52 32
42 20 32
30 42 32
30 22 32
12 32 32
0 41 32
4 47 32
20 32 32
42 22 32
37 4 32
10 46 32
0 13 32
23 50 32
2 32 32
0 58 32
0 20 32
7 52 32
27 12 32
39 13 32
44 2 32
21 12 32
21 2 32
30 21 32
42 50 32
0 1 32
42 2 32
0 2 32
3 18 32
10 52 32
27 20 32
2 22 32
27 2 32
19 25 32
13 2 32
0 50 32
11 46 32
3 50 32
